Order,Name,Carga Horária,Dias fixos,Cursos e Projetos,Status,Status 1,Status 2,Status 3,Status 4,Status 5,Status 6
1,Git,3h00,sábado,"Versionamento de Código com Git e GitHub (https://www.notion.so/Versionamento-de-C-digo-com-Git-e-GitHub-22f221916aa2465b9932e93dafb56719?pvs=21), Contribuindo em um Projeto Open Source no GitHub (https://www.notion.so/Contribuindo-em-um-Projeto-Open-Source-no-GitHub-95041036b7e24f0f84d782eedc0298f5?pvs=21)",Not started,Not started,Not started,Not started,Not started,Not started,Not started
2,GitHub,3h00,sábado,"Versionamento de Código com Git e GitHub (https://www.notion.so/Versionamento-de-C-digo-com-Git-e-GitHub-22f221916aa2465b9932e93dafb56719?pvs=21), Contribuindo em um Projeto Open Source no GitHub (https://www.notion.so/Contribuindo-em-um-Projeto-Open-Source-no-GitHub-95041036b7e24f0f84d782eedc0298f5?pvs=21)",Not started,Not started,Not started,Not started,Not started,Not started,Not started
3,HTML5,12h00,"quarta, quinta, segunda, terça","Introdução a Criação de Websites com HTML5 e CSS3 (https://www.notion.so/Introdu-o-a-Cria-o-de-Websites-com-HTML5-e-CSS3-433489e86d9e47d9b9a7a4bce72eb7a6?pvs=21), Criando um projeto com HTML/CSS para listagem de Pokémon (https://www.notion.so/Criando-um-projeto-com-HTML-CSS-para-listagem-de-Pok-mon-fcd74ed063ba4e5b89d73a97da8469fd?pvs=21), Dominando o Protocolo HTTP e integrando com a PokeAPI (https://www.notion.so/Dominando-o-Protocolo-HTTP-e-integrando-com-a-PokeAPI-0b89069ddc594d888454fdb8d68a7ef3?pvs=21), Construindo uma Pokédex com JavaScript (https://www.notion.so/Construindo-uma-Pok-dex-com-JavaScript-c45db6ae8450439fa2100efce43e5665?pvs=21)",Not started,Not started,Not started,Not started,Not started,Not started,Not started
4,CSS3,12h00,"domingo, segunda, sábado, terça","Introdução a Criação de Websites com HTML5 e CSS3 (https://www.notion.so/Introdu-o-a-Cria-o-de-Websites-com-HTML5-e-CSS3-433489e86d9e47d9b9a7a4bce72eb7a6?pvs=21), Criando um projeto com HTML/CSS para listagem de Pokémon (https://www.notion.so/Criando-um-projeto-com-HTML-CSS-para-listagem-de-Pok-mon-fcd74ed063ba4e5b89d73a97da8469fd?pvs=21), Dominando o Protocolo HTTP e integrando com a PokeAPI (https://www.notion.so/Dominando-o-Protocolo-HTTP-e-integrando-com-a-PokeAPI-0b89069ddc594d888454fdb8d68a7ef3?pvs=21), Construindo uma Pokédex com JavaScript (https://www.notion.so/Construindo-uma-Pok-dex-com-JavaScript-c45db6ae8450439fa2100efce43e5665?pvs=21)",Not started,Not started,Not started,Not started,Not started,Not started,Not started
5,JavaScript,10h00,"quarta, quinta, sexta, terça","Sintaxe básica em Javascript (https://www.notion.so/Sintaxe-b-sica-em-Javascript-f7901ae38b244e388337b641d9aa08e9?pvs=21), Introdução ao Desenvolvimento Web com Javascript (https://www.notion.so/Introdu-o-ao-Desenvolvimento-Web-com-Javascript-194d3ff2b0d74d538d698e8474eb068a?pvs=21), Criando um projeto com HTML/CSS para listagem de Pokémon (https://www.notion.so/Criando-um-projeto-com-HTML-CSS-para-listagem-de-Pok-mon-fcd74ed063ba4e5b89d73a97da8469fd?pvs=21), Dominando o Protocolo HTTP e integrando com a PokeAPI (https://www.notion.so/Dominando-o-Protocolo-HTTP-e-integrando-com-a-PokeAPI-0b89069ddc594d888454fdb8d68a7ef3?pvs=21), Construindo uma Pokédex com JavaScript (https://www.notion.so/Construindo-uma-Pok-dex-com-JavaScript-c45db6ae8450439fa2100efce43e5665?pvs=21), Desafios Full Stack JavaScript: Equilibrando o Saldo (https://www.notion.so/Desafios-Full-Stack-JavaScript-Equilibrando-o-Saldo-18f986f7342144f8b16e56ee51ef966a?pvs=21), Desafios Full Stack JavaScript: Organizando seus ativos (https://www.notion.so/Desafios-Full-Stack-JavaScript-Organizando-seus-ativos-a2079e25dfab406da90180706bc9312f?pvs=21), Desafios Full Stack JavaScript: Condicionalmente Rico (https://www.notion.so/Desafios-Full-Stack-JavaScript-Condicionalmente-Rico-db2c92c077a04795aa14e7bd49281537?pvs=21), Juros Compostos (https://www.notion.so/Juros-Compostos-5343633873e546f3b29863c9f150aee6?pvs=21), Desafios Full Stack JavaScript: O Grande Deposito (https://www.notion.so/Desafios-Full-Stack-JavaScript-O-Grande-Deposito-dd5546e847344f609031ec0ab8c9d16a?pvs=21)",Not started,Not started,Not started,Not started,Not started,Not started,Not started
6,HTTP,4h00,sábado,Dominando o Protocolo HTTP e integrando com a PokeAPI (https://www.notion.so/Dominando-o-Protocolo-HTTP-e-integrando-com-a-PokeAPI-0b89069ddc594d888454fdb8d68a7ef3?pvs=21),Not started,Not started,Not started,Not started,Not started,Not started,Not started
7,Lógica e Pensamento Computacional,1h00,quinta,Desafios de código: Aperfeiçoe sua lógica e pensamento computacional (https://www.notion.so/Desafios-de-c-digo-Aperfei-oe-sua-l-gica-e-pensamento-computacional-7ba0b06a745447e0952eb57e3c461154?pvs=21),Not started,Not started,Not started,Not started,Not started,Not started,Not started
8,Web Componentes,2h00,domingo,Trabalhando com Componentes Angular (https://www.notion.so/Trabalhando-com-Componentes-Angular-54d398284dce49b59b79cf94b3418bef?pvs=21),Not started,Not started,Not started,Not started,Not started,Not started,Not started
9,Typescript,3h00,sábado,Typescript para Angular (https://www.notion.so/Typescript-para-Angular-81f9b4327a7d4f148668392d3820e290?pvs=21),Not started,Not started,Not started,Not started,Not started,Not started,Not started
10,Angular,23h00,"domingo, quarta, quinta, sexta, sábado","Trabalhando com Web Components no Front-End (https://www.notion.so/Trabalhando-com-Web-Components-no-Front-End-3702ef4df0c244458d287b3f90fd9405?pvs=21), Typescript para Angular (https://www.notion.so/Typescript-para-Angular-81f9b4327a7d4f148668392d3820e290?pvs=21), Introdução ao Ecossistema Angular (https://www.notion.so/Introdu-o-ao-Ecossistema-Angular-206d856527324479953145242a27660a?pvs=21), Trabalhando com Componentes Angular (https://www.notion.so/Trabalhando-com-Componentes-Angular-54d398284dce49b59b79cf94b3418bef?pvs=21), LifeCycle Hooks Angular (https://www.notion.so/LifeCycle-Hooks-Angular-166c5e8658cf4716a351b76bb2a23e30?pvs=21), Single Page Application Com Angular (https://www.notion.so/Single-Page-Application-Com-Angular-fa3914b76420458090115ad82677765b?pvs=21), Módulos Angular (https://www.notion.so/M-dulos-Angular-6113a1fa8e814cdf940762b8852f5df6?pvs=21), Criando um Blog com Angular (https://www.notion.so/Criando-um-Blog-com-Angular-69bd26cf56694f04a2356ae27819716c?pvs=21), Trabalhando com Rotas no Angular (https://www.notion.so/Trabalhando-com-Rotas-no-Angular-f8ab05d8ec38410a8488a453da38b891?pvs=21), Trabalhando com Services no Angular (https://www.notion.so/Trabalhando-com-Services-no-Angular-dd507804e3014c059f16e753958c0959?pvs=21), Recriando a Interface da PlayStation Store com Angular (https://www.notion.so/Recriando-a-Interface-da-PlayStation-Store-com-Angular-f4c7f379def8483a852fe2ece6310e17?pvs=21)",Not started,Not started,Not started,Not started,Not started,Not started,Not started
